FunctionName,Brief,DEVICE_ID_NOTFOUND,DEVICE_ID_CORVID1,DEVICE_ID_CORVID3G,DEVICE_ID_KONALHI,DEVICE_ID_KONALHIDVI,DEVICE_ID_KONALHEPLUS,DEVICE_ID_IOEXPRESS,DEVICE_ID_CORVID22,DEVICE_ID_KONA3G,DEVICE_ID_KONA3GQUAD,DEVICE_ID_CORVID24,DEVICE_ID_IOXT,DEVICE_ID_TTAP,DEVICE_ID_IO4K,DEVICE_ID_IO4KUFC,DEVICE_ID_CORVID88,DEVICE_ID_KONA4,DEVICE_ID_KONA4UFC,DEVICE_ID_CORVID44,DEVICE_ID_CORVIDHEVC,DEVICE_ID_CORVIDHBR,DEVICE_ID_KONAIP_4CH_1SFP,DEVICE_ID_KONAIP_4CH_2SFP,DEVICE_ID_KONAIP_1RX_1TX_1SFP_J2K,DEVICE_ID_KONAIP_2TX_1SFP_J2K,DEVICE_ID_KONAIP_2RX_1SFP_J2K,DEVICE_ID_KONAIP_1RX_1TX_2110,DEVICE_ID_IO4KPLUS,DEVICE_ID_IO4KIP,DEVICE_ID_KONAIP_4TX_2110,DEVICE_ID_KONAALPHA
NTV2DeviceCanChangeEmbeddedAudioClock,,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanChangeFrameBufferSize,Returns true if the device having the given ID does not have fixed frame buffer sizes.,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDisableUFC,"Returns true if the device having the given ID has at least one UFC, and it can be disabled.",-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDo2KVideo,Returns true if the device having the given ID is capable of handling 2Kx1556 video.,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDo3GLevelConversion,Returns true if the device having the given ID can perform 3G level B to 3G level A conversion.,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,X,-,X,X,-,-,-,X,X,X,X,X
NTV2DeviceCanDoRGBLevelAConversion,Returns true if the device having the given ID can do RGB over 3G Level A.,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,-,-,X,X,-,-,-,X,X,X,X,X
NTV2DeviceCanDo425Mux,Returns true if the device having the given ID supports SMPTE 425 mux control.,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,X,-,X,X,-,-,-,-,-,-,-,X,X,-,-
NTV2DeviceCanDo4KVideo,Returns true if the device having the given ID can handle 4K/UHD video.,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,X,X,-,-,-,-,-,-,X,X,-,-
NTV2DeviceCanDoAESAudioIn,Returns true if the device having the given ID has at least one AES/EBU audio input.,-,-,-,X,X,X,X,-,X,X,-,-,-,-,-,-,X,X,-,-,X,-,-,X,X,X,-,-,-,-,-
NTV2DeviceCanDoAnalogAudio,Returns true if the device having the given ID has at least one analog audio input or output.,-,-,-,X,X,X,X,-,X,X,-,X,-,X,X,-,X,X,-,-,-,-,-,-,-,-,-,X,X,-,-
NTV2DeviceCanDoAnalogVideoIn,Returns true if the device having the given ID has at least one analog video input.,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoAnalogVideoOut,Returns true if the device having the given ID has at least one analog video output.,-,-,-,X,X,X,X,-,X,X,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoAudio2Channels,Returns true if the audio system(s) on the device having the given ID can be configured to embed/de-embed only 2 audio channels.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoAudio6Channels,Returns true if the audio system(s) on the device having the given ID can be configured to embed/de-embed only 6 audio channels.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoAudio8Channels,Returns true if the audio system(s) on the device having the given ID can be configured to embed/de-embed only 8 audio channels.,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoAudio96K,Returns true if audio system(s) on the device having the given ID can be set to a 96kHz sample rate.,-,-,-,X,X,-,X,-,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,-,-,-,X,X,X,-,-
NTV2DeviceCanDoAudioDelay,Returns true if audio system(s) on the device having the given ID have an adjustable delay.,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,-
NTV2DeviceCanDoBreakoutBox,Returns true if the device having the given ID can be connected to an AJA breakout box.,-,-,-,X,X,X,-,-,X,X,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoCapture,Returns true if the device having the given ID can capture (ingest) video.,-,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,-,X
NTV2DeviceCanDoColorCorrection,Returns true if the device having the given ID has at least one programmable LUT.,-,-,-,X,X,X,-,-,X,X,X,X,-,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoCustomAnc,Returns true if the device having the given ID supports ANC insertion/extraction.,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,X,-,X,X,-,-,-,X,X,X,X,X
NTV2DeviceCanDoDSKOpacity,Returns true if the device having the given ID has a mixer/keyer whose opacity is adjustable.,-,-,X,X,X,-,-,-,X,X,X,X,-,X,X,-,X,X,-,-,-,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoDualLink,Returns true if the device having the given ID can input/output 10-bit RGB over 2-wire SDI.,-,-,-,-,-,-,-,-,X,X,-,X,-,X,X,X,X,X,X,-,-,X,X,-,-,-,X,X,X,X,X
NTV2DeviceCanDoDVCProHD,Returns true if the device having the given ID can squeeze/stretch between 1920x1080/1280x1080 and 1280x720/960x720.,-,-,-,X,X,X,X,-,X,X,-,X,X,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoEnhancedCSC,Returns true if the device having the given ID has enhanced color space converter capability.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,X,-,-,X,X,-,-,-,X,-,-,X,X
NTV2DeviceCanDoFrameStore1Display,,-,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoFreezeOutput,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoHDMIOutStereo,Returns true if the device having the given ID can handle 3D-stereo video output over HDMI.,-,-,-,-,-,-,-,-,X,X,-,X,-,-,X,-,X,X,-,-,-,X,X,X,X,X,X,-,-,X,-
NTV2DeviceCanDoHDV,Returns true if the device having the given ID can squeeze/stretch between 1920x1080 and 1440x1080.,-,-,-,X,X,X,X,-,X,-,-,X,X,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoHDVideo,Returns true if the device having the given ID can handle HD (High Definition) video.,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2DeviceCanDoIsoConvert,,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2DeviceCanDoLTC,Returns true if the device having the given ID can take in LTC (Linear TimeCode) from one of its inputs.,-,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,-,-,-,X,X,X,-,X,X,-,X
