NTV2FrameBufferFormat,DEVICE_ID_NOTFOUND,DEVICE_ID_CORVID1,DEVICE_ID_CORVID3G,DEVICE_ID_KONALHI,DEVICE_ID_KONALHIDVI,DEVICE_ID_KONALHEPLUS,DEVICE_ID_IOEXPRESS,DEVICE_ID_CORVID22,DEVICE_ID_KONA3G,DEVICE_ID_KONA3GQUAD,DEVICE_ID_CORVID24,DEVICE_ID_IOXT,DEVICE_ID_TTAP,DEVICE_ID_IO4K,DEVICE_ID_IO4KUFC,DEVICE_ID_CORVID88,DEVICE_ID_KONA4,DEVICE_ID_KONA4UFC,DEVICE_ID_CORVID44,DEVICE_ID_CORVIDHEVC,DEVICE_ID_CORVIDHBR,DEVICE_ID_KONAIP_4CH_1SFP,DEVICE_ID_KONAIP_4CH_2SFP,DEVICE_ID_KONAIP_1RX_1TX_1SFP_J2K,DEVICE_ID_KONAIP_2TX_1SFP_J2K,DEVICE_ID_KONAIP_2RX_1SFP_J2K,DEVICE_ID_KONAIP_1RX_1TX_2110,DEVICE_ID_IO4KPLUS,DEVICE_ID_IOIP_2022,DEVICE_ID_IOIP_2110,DEVICE_ID_KONAIP_4TX_2110,DEVICE_ID_KONAALPHA
NTV2_FBF_10BIT_YCBCR,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_8BIT_YCBCR,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_ARGB,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_RGBA,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_10BIT_RGB,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_8BIT_YCBCR_YUY2,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_ABGR,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_10BIT_DPX,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_10BIT_YCBCR_DPX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_8BIT_DVCPRO,-,-,-,X,X,X,X,-,X,X,-,X,X,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_8BIT_YCBCR_420PL3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_8BIT_HDV,-,-,-,X,X,X,X,-,X,X,-,X,X,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_24BIT_RGB,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_24BIT_BGR,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_10BIT_YCBCRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_10BIT_DPX_LE,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FBF_48BIT_RGB,-,-,-,X,X,X,-,-,X,X,X,X,-,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,-
NTV2_FBF_PRORES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_PRORES_DVCPRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_PRORES_HDV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_10BIT_RGB_PACKED,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_10BIT_ARGB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_16BIT_ARGB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_8BIT_YCBCR_422PL3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FBF_10BIT_RAW_RGB,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,X,X,X,X,X,X,-,-,-,X,-
NTV2_FBF_10BIT_RAW_YCBCR,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,X,X,X,X,X,X,-,-,-,X,-
NTV2_FBF_10BIT_YCBCR_420PL3_LE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
