NTV2InputSource,NonDeprecate?,DEVICE_ID_NOTFOUND,DEVICE_ID_CORVID1,DEVICE_ID_CORVID3G,DEVICE_ID_KONALHI,DEVICE_ID_KONALHIDVI,DEVICE_ID_KONALHEPLUS,DEVICE_ID_IOEXPRESS,DEVICE_ID_CORVID22,DEVICE_ID_KONA3G,DEVICE_ID_KONA3GQUAD,DEVICE_ID_CORVID24,DEVICE_ID_IOXT,DEVICE_ID_TTAP,DEVICE_ID_IO4K,DEVICE_ID_IO4KUFC,DEVICE_ID_CORVID88,DEVICE_ID_KONA4,DEVICE_ID_KONA4UFC,DEVICE_ID_CORVID44,DEVICE_ID_CORVIDHEVC,DEVICE_ID_CORVIDHBR,DEVICE_ID_KONAIP_2022,DEVICE_ID_KONAIP_4CH_2SFP,DEVICE_ID_KONAIP_1RX_1TX_1SFP_J2K,DEVICE_ID_KONAIP_2TX_1SFP_J2K,DEVICE_ID_KONAIP_2RX_1SFP_J2K,DEVICE_ID_KONAIP_1RX_1TX_2110,DEVICE_ID_IO4KPLUS,DEVICE_ID_IOIP_2022,DEVICE_ID_IOIP_2110,DEVICE_ID_KONAIP_2110,DEVICE_ID_KONA1,DEVICE_ID_KONAHDMI
NTV2_INPUTSOURCE_ANALOG,0,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_INPUTSOURCE_HDMI1,0,-,-,-,X,X,-,X,-,-,-,-,X,-,X,X,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,X
NTV2_INPUTSOURCE_HDMI2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X
NTV2_INPUTSOURCE_HDMI3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X
NTV2_INPUTSOURCE_HDMI4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X
NTV2_INPUTSOURCE_SDI1,0,-,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,-,X,X,X,-,X,X,X,X,X,X,X,-
NTV2_INPUTSOURCE_SDI2,0,-,-,-,-,-,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,-,X,X,-,-,X,X,X,X,X,-,X,-
NTV2_INPUTSOURCE_SDI3,0,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,X,-,X,X,-,-,-,X,X,X,X,-,-,-
NTV2_INPUTSOURCE_SDI4,0,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,X,-,X,X,-,-,-,X,X,X,X,-,-,-
NTV2_INPUTSOURCE_SDI5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_INPUTSOURCE_SDI6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_INPUTSOURCE_SDI7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_INPUTSOURCE_SDI8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_INPUTSOURCE_INVALID,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_INPUTSOURCE_DUALLINK1,1,-,-,-,-,-,-,-,-,X,X,X,-,-,X,X,X,X,X,-,-,-,X,X,-,-,-,X,X,X,X,-,X,-
NTV2_INPUTSOURCE_DUALLINK2,1,-,-,-,-,-,-,-,-,X,X,X,-,-,X,X,X,X,X,-,-,-,X,X,-,-,-,X,X,X,X,-,X,-
NTV2_INPUTSOURCE_DUALLINK3,1,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,-,-,-,X,X,-,-,-,X,X,X,X,-,-,-
NTV2_INPUTSOURCE_DUALLINK4,1,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,-,-,-,X,X,-,-,-,X,X,X,X,-,-,-
NTV2_INPUTSOURCE_DUALLINK5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_INPUTSOURCE_DUALLINK6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_INPUTSOURCE_DUALLINK7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_INPUTSOURCE_DUALLINK8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
