NTV2VideoFormat,DEVICE_ID_NOTFOUND,DEVICE_ID_CORVID1,DEVICE_ID_CORVID3G,DEVICE_ID_KONALHI,DEVICE_ID_KONALHIDVI,DEVICE_ID_KONALHEPLUS,DEVICE_ID_IOEXPRESS,DEVICE_ID_CORVID22,DEVICE_ID_KONA3G,DEVICE_ID_KONA3GQUAD,DEVICE_ID_CORVID24,DEVICE_ID_IOXT,DEVICE_ID_TTAP,DEVICE_ID_IO4K,DEVICE_ID_IO4KUFC,DEVICE_ID_CORVID88,DEVICE_ID_KONA4,DEVICE_ID_KONA4UFC,DEVICE_ID_CORVID44,DEVICE_ID_CORVIDHEVC,DEVICE_ID_CORVIDHBR,DEVICE_ID_KONAIP_4CH_1SFP,DEVICE_ID_KONAIP_4CH_2SFP,DEVICE_ID_KONAIP_1RX_1TX_1SFP_J2K,DEVICE_ID_KONAIP_2TX_1SFP_J2K
NTV2_FORMAT_UNKNOWN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_FORMAT_1080i_5000,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080i_5994,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080i_6000,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_720p_5994,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_720p_6000,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080psf_2398,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X
NTV2_FORMAT_1080psf_2400,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X
NTV2_FORMAT_1080p_2997,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_3000,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_2500,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_2398,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_2400,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_2K_2398,-,-,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_2K_2400,-,-,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080psf_2K_2398,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X
NTV2_FORMAT_1080psf_2K_2400,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X
NTV2_FORMAT_720p_5000,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_5000,-,-,X,X,X,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_5994,-,-,X,X,X,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_6000,-,-,X,X,X,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_720p_2398,-,-,X,X,X,-,-,X,X,X,X,X,-,-,X,-,-,X,-,-,-,X,X,X,X
NTV2_FORMAT_720p_2500,-,-,X,X,X,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_5000_A,-,-,X,X,X,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_5994_A,-,-,X,X,X,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_6000_A,-,-,X,X,X,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080p_2K_2500,-,-,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_FORMAT_1080psf_2K_2500,-,-,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X
NTV2_FORMAT_1080psf_2500_2,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X
NTV2_FORMAT_1080psf_2997_2,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X
NTV2_FORMAT_1080psf_3000_2,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X
NTV2_FORMAT_END_HIGH_DEF_FORMATS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
