NTV2WidgetID,DEVICE_ID_NOTFOUND,DEVICE_ID_CORVID1,DEVICE_ID_CORVID3G,DEVICE_ID_KONALHI,DEVICE_ID_KONALHIDVI,DEVICE_ID_KONALHEPLUS,DEVICE_ID_IOEXPRESS,DEVICE_ID_CORVID22,DEVICE_ID_KONA3G,DEVICE_ID_KONA3GQUAD,DEVICE_ID_CORVID24,DEVICE_ID_IOXT,DEVICE_ID_TTAP,DEVICE_ID_IO4K,DEVICE_ID_IO4KUFC,DEVICE_ID_CORVID88,DEVICE_ID_KONA4,DEVICE_ID_KONA4UFC,DEVICE_ID_CORVID44,DEVICE_ID_CORVIDHEVC,DEVICE_ID_CORVIDHBR,DEVICE_ID_KONAIP_4CH_1SFP,DEVICE_ID_KONAIP_4CH_2SFP,DEVICE_ID_KONAIP_1RX_1TX_1SFP_J2K,DEVICE_ID_KONAIP_2TX_1SFP_J2K,DEVICE_ID_KONAIP_2RX_1SFP_J2K,DEVICE_ID_KONAIP_1RX_1TX_2110,DEVICE_ID_IO4KPLUS,DEVICE_ID_IO4KIP
NTV2_WgtFrameBuffer1,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_WgtFrameBuffer2,-,X,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_WgtFrameBuffer3,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,X,X,X,X,X,X,X,X,X,X
NTV2_WgtFrameBuffer4,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,X,X,X,X,X,X,X,X,X,X
NTV2_WgtCSC1,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_WgtCSC2,-,-,X,X,X,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
NTV2_WgtLUT1,-,-,-,X,X,X,-,-,X,X,X,X,-,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X
NTV2_WgtLUT2,-,-,-,X,X,-,-,-,X,X,X,X,-,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,X
NTV2_WgtFrameSync1,-,-,-,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtFrameSync2,-,-,-,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtSDIIn1,-,X,-,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtSDIIn2,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_Wgt3GSDIIn1,-,-,X,-,-,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,-,X,X,X,-,X,X,-,-
NTV2_Wgt3GSDIIn2,-,-,-,-,-,-,-,X,X,X,X,X,-,X,X,X,X,X,X,X,-,X,X,-,-,X,X,-,-
NTV2_Wgt3GSDIIn3,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,X,-,X,X,-,-,-,X,-,-
NTV2_Wgt3GSDIIn4,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,X,-,X,X,-,-,-,X,-,-
NTV2_WgtSDIOut1,-,X,-,X,X,X,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtSDIOut2,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtSDIOut3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtSDIOut4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_Wgt3GSDIOut1,-,-,X,-,-,-,-,X,X,X,X,X,-,X,X,X,X,X,X,-,-,X,X,X,X,-,X,-,-
NTV2_Wgt3GSDIOut2,-,-,-,-,-,-,-,X,X,X,X,X,-,X,X,X,X,X,X,-,-,X,X,-,X,-,X,-,-
NTV2_Wgt3GSDIOut3,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,-,-,X,X,-,-,-,X,-,-
NTV2_Wgt3GSDIOut4,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,-,-,X,X,-,-,-,X,-,-
NTV2_WgtDualLinkIn1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtDualLinkV2In1,-,-,-,-,-,-,-,-,X,X,X,X,-,X,X,X,X,X,X,-,-,X,X,-,-,-,X,X,X
NTV2_WgtDualLinkV2In2,-,-,-,-,-,-,-,-,X,X,X,X,-,X,X,X,X,X,X,-,-,X,X,-,-,-,X,X,X
NTV2_WgtDualLinkOut1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtDualLinkOut2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtDualLinkV2Out1,-,-,-,-,-,-,-,-,X,X,X,X,-,X,X,X,X,X,X,-,-,X,X,-,-,-,X,X,X
NTV2_WgtDualLinkV2Out2,-,-,-,-,-,-,-,-,X,X,X,X,-,X,X,X,X,X,X,-,-,X,X,-,-,-,X,X,X
NTV2_WgtAnalogIn1,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtAnalogOut1,-,-,-,X,X,X,X,-,X,X,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtAnalogCompositeOut1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtHDMIIn1,-,-,-,X,X,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtHDMIOut1,-,-,-,X,X,-,X,-,X,X,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtUpDownConverter1,-,-,-,X,X,X,X,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtUpDownConverter2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtMixer1,-,-,X,X,X,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X
NTV2_WgtCompression1,-,-,-,-,-,X,X,-,X,X,-,X,X,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtProcAmp1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtWaterMarker1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtWaterMarker2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtIICT1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtIICT2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtTestPattern1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtGenLock,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X
NTV2_WgtDCIMixer1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtMixer2,-,-,-,-,-,-,-,X,X,X,X,-,-,X,X,X,X,X,X,X,-,X,X,-,-,-,X,X,X
NTV2_WgtStereoCompressor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtLUT3,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,-,X,X,X,-,-,-,X,X,X
NTV2_WgtLUT4,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,-,X,X,X,-,-,-,X,X,X
NTV2_WgtDualLinkV2In3,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,-,-,X,X,-,-,-,X,X,X
NTV2_WgtDualLinkV2In4,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,-,-,X,X,-,-,-,X,X,X
NTV2_WgtDualLinkV2Out3,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,-,-,X,X,-,-,-,X,X,X
NTV2_WgtDualLinkV2Out4,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,-,-,X,X,-,-,-,X,X,X
NTV2_WgtCSC3,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,X,X,X,X,-,-,-,X,X,X
NTV2_WgtCSC4,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,X,-,X,X,X,X,X,-,-,-,X,X,X
NTV2_WgtHDMIIn1v2,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-
NTV2_WgtHDMIOut1v2,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtSDIMonOut1,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,X,X
NTV2_WgtCSC5,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,-,-,-,-,X,X,-,-,-,X,X,X
NTV2_WgtLUT5,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,-,-,-,-,X,X,-,-,-,X,X,X
NTV2_WgtDualLinkV2Out5,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,-,X,-,-,-,-,-,-,-,-,-,X,X
NTV2_Wgt4KDownConverter,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,X,-,-,-,-,-,-,X,X
NTV2_Wgt3GSDIIn5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_Wgt3GSDIIn6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_Wgt3GSDIIn7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_Wgt3GSDIIn8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_Wgt3GSDIOut5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_Wgt3GSDIOut6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_Wgt3GSDIOut7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_Wgt3GSDIOut8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_WgtDualLinkV2In5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtDualLinkV2In6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtDualLinkV2In7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtDualLinkV2In8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtDualLinkV2Out6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtDualLinkV2Out7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtDualLinkV2Out8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtCSC6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtCSC7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtCSC8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtLUT6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtLUT7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtLUT8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtMixer3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_WgtMixer4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_WgtFrameBuffer5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,X,X
NTV2_WgtFrameBuffer6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,X,X
NTV2_WgtFrameBuffer7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,X,X
NTV2_WgtFrameBuffer8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,X,X
NTV2_WgtHDMIIn1v3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_WgtHDMIOut1v3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,X,X,X,X,X,X,-,-
NTV2_Wgt425Mux1,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,X,-,X,X,-,-,-,-,-,-,-,X,X
NTV2_Wgt425Mux2,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,X,-,X,X,-,-,-,-,-,-,-,X,X
